	t	AveExpr	lods	logFC	CI.L	CI.R	adj.P.Val	P.Value
DEGS2	9.453487859483472	5.331843678581977	18.937722087203227	4.426587536564389	3.48644517181916	5.3667299013096175	4.187928069458304e-10	8.803452398260699e-13
GREB1	9.373978880141252	5.97810181590464	18.66025571070938	4.901197425314511	3.8514257193912376	5.950969131237786	5.295656670273298e-10	1.1596990124171386e-12
ABCC8	9.36975819371741	1.2092011399689224	18.24236794483113	7.685857410276684	6.038906793659932	9.332808026893437	5.295656670273298e-10	1.1768125933940664e-12
C9orf152	9.319549459374997	4.111123493900354	18.479528723929548	4.587191202582112	3.598937244466875	5.575445160697349	6.138790220219033e-10	1.4010452154253649e-12
SFRS13B	-9.049901693059871	-0.7281887077655839	16.98479527804151	-4.0191477040041015	-4.910823016163408	-3.127472391844795	1.532989758834624e-09	3.5907868224955157e-12
SLC22A5	9.0370801288367	4.744578159352899	17.505726660604893	2.1307768047430358	1.657378754737837	2.6041748547482344	1.5633593863202534e-09	3.755818345514122e-12
ANXA9	8.983689595649922	4.488068565900574	17.337137588148707	3.97365257086305	3.085573179225762	4.861731962500338	1.831166363000778e-09	4.529424137620706e-12
YBX1	-8.978101765876367	8.102542881045192	17.251173702757747	-1.727539317828871	-2.1138707587684684	-1.3412078768892735	1.831166363000778e-09	4.619158393155115e-12
PPP1R14C	-8.895442700349584	0.6478863016373424	16.864449569954516	-5.462615782616082	-6.695577879251669	-4.2296536859804945	2.356146700518823e-09	6.176580463391287e-12
TMEM63C	8.893157446030969	4.2106151788676724	17.027850794794148	4.027187086621531	3.117980733652584	4.936393439590478	2.356146700518823e-09	6.226453743112806e-12
C4orf34	8.842172711568523	6.03702076029533	16.7921150796033	2.134473402823457	1.6498008890652271	2.619145916581687	2.7568988612494743e-09	7.451078003376958e-12
NUDT12	8.831015313892603	4.497270600455161	16.80410584404342	2.53546779118471	1.9590145342105447	3.111921048158875	2.805138680761596e-09	7.749932691593598e-12
MAPT	8.820043055413779	6.143781085174585	16.75103192832249	4.979936615420832	3.8463107481221597	6.113562482719504	2.853741763346922e-09	8.055607380018339e-12
SLC15A1	-8.779838198133753	-2.9848983387758117	15.64160081228431	-7.083746932398089	-8.703665421698389	-5.463828443097789	3.2201285063393303e-09	9.28325335160888e-12
ARSG	8.771922394555617	3.927986623112755	16.61065621682106	3.0825830650494614	2.3770186898857677	3.788147440213155	3.243804024581038e-09	9.546330162430683e-12
TFF3	8.690775218309183	5.722819026603724	16.321986219109572	8.257176048915332	6.349565725251824	10.16478637257884	4.234829871571123e-09	1.2717206821534905e-11
RERG	8.684189457903724	5.803005652794026	16.26309397245074	3.369931984451327	2.590804574627065	4.149059394275589	4.2496758493414005e-09	1.3017025124108795e-11
KCMF1	-8.659533530427662	6.106711868541647	16.141802349851712	-1.0374325406171137	-1.2779696043719357	-0.7968954768622916	4.548048376750434e-09	1.4204115050511865e-11
INPP5J	8.639209201779037	4.255492485390501	16.14993584476763	3.5561350742557862	2.7296768703131393	4.382593278198433	4.795278164850426e-09	1.5264248813037392e-11
C4A	8.622593447446674	9.821769617575178	16.036640943118677	4.611052058472795	3.5373624425374754	5.684741674408116	4.991886024542869e-09	1.6189900620139035e-11
VGLL1	-8.613844329651801	-1.0704926355934152	15.740808984771268	-7.870836495960323	-9.705432778136217	-6.036240213784429	5.055490660105333e-09	1.669981899734494e-11
LMX1B	8.606504581958504	5.792298913449974	15.98272440234147	2.77279516033032	2.125939146298076	3.419651174362564	5.096104637232214e-09	1.7140051632732974e-11
FAM47E	8.549761903770568	1.963084786331247	15.763680078913191	3.256366976492438	2.4916584043585477	4.021075548626328	6.123241577369358e-09	2.0962448643246453e-11
IFRD1	-8.542002806365172	4.766361719432703	15.779729539226944	-1.7514204595907081	-2.163088683930898	-1.3397522352505187	6.185757349426551e-09	2.1547983559563962e-11
ATL2	-8.523251124586533	5.935090369816682	15.670283816401774	-1.6062325512191347	-1.9846052352067909	-1.2278598672314784	6.4997002408486816e-09	2.3031970823427762e-11
C12orf72	8.514955229358518	1.8796013644516472	15.636145405234377	1.6665189507820386	1.2735624073128684	2.059475494251209	6.582556777646411e-09	2.372092532485193e-11
CRIP1	8.466436980952288	7.433025339530772	15.477779142895164	3.7006528178990896	2.8230574946870863	4.578248141111093	7.693596391441582e-09	2.8186749542218406e-11
INPP4B	8.461124226513748	4.432916176004826	15.525187907465599	3.3210700179139367	2.5329967471410564	4.109143288686817	7.713930259615818e-09	2.8724545110881725e-11
TP53INP1	8.452572541650333	6.601448692640532	15.41690086468503	2.0356431111601294	1.552106491098346	2.5191797312219126	7.826025267634686e-09	2.961198749915827e-11
TMEM25	8.397953846800577	5.525922403093387	15.253087567928079	2.3020220142918335	1.751654709547013	2.852389319036654	9.35753900892823e-09	3.5968918712997404e-11
MAP3K12	8.384977895066807	3.3282527427339668	15.273941027916543	1.9303663808178357	1.46814028522362	2.3925924764120516	9.649592730712918e-09	3.767108273251289e-11
AFF3	8.375571714639658	5.856422376980359	15.219389638873842	5.624750550488206	4.276391847801235	6.973109253175177	9.827395120016409e-09	3.895544011538036e-11
NCK2	-8.305307001074585	5.4662927773784284	14.91793778606474	-1.4276321739343771	-1.7727578525518308	-1.0825064953169234	1.2438469301217124e-08	5.005269929018303e-11
